Model,R2_Train,R2_Test,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test,CV_R2_Mean,CV_R2_Std,Inference_Time_sec
LightGBM,0.9930839812672674,0.9845374368541745,2.4011610697783303,3.536035674376366,1.0151477187954807,1.6425336820478433,0.985253113810872,0.004439640840846021,0.02184152603149414
XGBoost,0.9998008849683331,0.9802106850789816,0.40742271321517465,4.000288140562437,0.2989498199899991,1.5325517820954322,0.9849512959474611,0.005315884092432134,0.016704082489013672
GradientBoosting,0.9958696547162071,0.9771707955676738,1.8556086675052959,4.296563981106161,1.3762763650514123,2.149019533201961,0.9812842413080467,0.006166862576391366,0.016889333724975586
CatBoost,0.9988919854790328,0.973098648681468,0.9610941616117434,4.6640472649551725,0.732985915219343,1.9602618155732454,0.9786137049373606,0.003823769827265182,0.04210948944091797
RandomForest,0.9892743366797704,0.9719936787591862,2.9902348118278352,4.758870949013191,1.1193304317680735,1.9024740317716373,0.977762516468594,0.004927544938597196,0.04737520217895508
